study_id,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,excluded_trials,repetition,correct_object,position_of_correct_object,opening_correct_side,giving_object_to_e
kirchhofer2012dogs,2008,03,19,lome,6.0,6,m,chimpanzee,,11.0,,,green_hose,left,yes,yes
kirchhofer2012dogs,2008,03,19,lome,6.0,6,m,chimpanzee,,12.0,,,cup,right,no,
kirchhofer2012dogs,2008,03,19,lome,6.0,6,m,chimpanzee,,13.0,,,pvc,right,no,
kirchhofer2012dogs,2008,03,25,lome,6.0,6,m,chimpanzee,4,14.0,,,rope,left,yes,yes
kirchhofer2012dogs,2008,03,25,lome,6.0,6,m,chimpanzee,,15.0,,b1,pvc,right,,
kirchhofer2012dogs,2008,03,25,lome,6.0,6,m,chimpanzee,,16.0,,b2_f,pvc,right,no,
kirchhofer2012dogs,2008,03,25,lome,6.0,6,m,chimpanzee,,17.0,,,scraper,left,yes,yes
kirchhofer2012dogs,2008,03,25,lome,6.0,6,m,chimpanzee,,18.0,,,black_hose,right,no,
kirchhofer2012dogs,2008,03,27,robert,32.0,32,m,chimpanzee,1,1.0,,,scraper,right,no,
kirchhofer2012dogs,2008,03,27,robert,32.0,32,m,chimpanzee,,2.0,,,pvc,left,no,
kirchhofer2012dogs,2008,03,27,robert,32.0,32,m,chimpanzee,,3.0,,,green_hose,left,yes,yes
kirchhofer2012dogs,2008,03,27,robert,32.0,32,m,chimpanzee,,4.0,,,black_hose,right,no,
kirchhofer2012dogs,2008,03,30,robert,32.0,32,m,chimpanzee,2,5.0,excluded,a1,rope,left,no,
kirchhofer2012dogs,2008,03,30,robert,32.0,32,m,chimpanzee,,6.0,,,spoon,right,yes,yes
kirchhofer2012dogs,2008,03,30,robert,32.0,32,m,chimpanzee,,7.0,,,black_hose,left,no,
kirchhofer2012dogs,2008,03,30,robert,32.0,32,m,chimpanzee,,8.0,,,pvc,right,no,
kirchhofer2012dogs,2008,03,30,robert,32.0,32,m,chimpanzee,,9.0,,a2_f,rope,left,yes,yes
kirchhofer2012dogs,2008,04,02,robert,32.0,32,m,chimpanzee,3,10.0,,,cup,left,yes,yes
kirchhofer2012dogs,2008,04,02,robert,32.0,32,m,chimpanzee,,11.0,,,tube,right,yes,yes
kirchhofer2012dogs,2008,04,02,robert,32.0,32,m,chimpanzee,,12.0,,,rope,right,no,
kirchhofer2012dogs,2008,04,02,robert,32.0,32,m,chimpanzee,,13.0,,,spoon,left,yes,yes
kirchhofer2012dogs,2008,04,04,robert,32.0,32,m,chimpanzee,4,14.0,,,tube,left,yes,yes
kirchhofer2012dogs,2008,04,04,robert,32.0,32,m,chimpanzee,,15.0,,,cup,right,no,
kirchhofer2012dogs,2008,04,04,robert,32.0,32,m,chimpanzee,,16.0,,,scraper,left,yes,yes
kirchhofer2012dogs,2008,04,04,robert,32.0,32,m,chimpanzee,,17.0,,,green_hose,right,no,
kirchhofer2012dogs,2008,04,04,robert,32.0,32,m,chimpanzee,,,,,,,,
kirchhofer2012dogs,2008,03,27,natascha,27.0,28,f,chimpanzee,1,1.0,,,green_hose,right,yes,yes
kirchhofer2012dogs,2008,03,27,natascha,27.0,28,f,chimpanzee,,2.0,,,scraper,left,no,
kirchhofer2012dogs,2008,03,27,natascha,27.0,28,f,chimpanzee,,3.0,,,black_hose,left,no,
kirchhofer2012dogs,2008,03,27,natascha,27.0,28,f,chimpanzee,,4.0,,,pvc,right,yes,
kirchhofer2012dogs,2008,03,30,natascha,27.0,28,f,chimpanzee,2,5.0,,,spoon,left,yes,yes
kirchhofer2012dogs,2008,03,30,natascha,27.0,28,f,chimpanzee,,6.0,,,tube,right,no,
kirchhofer2012dogs,2008,03,30,natascha,27.0,28,f,chimpanzee,,7.0,excluded,a1,green_hose,left,,
kirchhofer2012dogs,2008,03,30,natascha,27.0,28,f,chimpanzee,,8.0,,a2_f,green_hose,left,yes,yes
kirchhofer2012dogs,2008,03,30,natascha,27.0,28,f,chimpanzee,,9.0,,,cup,right,yes,yes
kirchhofer2012dogs,2008,04,02,natascha,27.0,28,f,chimpanzee,3,10.0,,,spoon,right,no,
kirchhofer2012dogs,2008,04,02,natascha,27.0,28,f,chimpanzee,,11.0,,,rope,right,no,
kirchhofer2012dogs,2008,04,02,natascha,27.0,28,f,chimpanzee,,12.0,,,pvc,left,yes,
kirchhofer2012dogs,2008,04,02,natascha,27.0,28,f,chimpanzee,,13.0,,,cup,left,no,
kirchhofer2012dogs,2008,04,04,natascha,27.0,28,f,chimpanzee,4,14.0,,,tube,left,yes,yes
kirchhofer2012dogs,2008,04,04,natascha,27.0,28,f,chimpanzee,,15.0,,,black_hose,right,no,
kirchhofer2012dogs,2008,04,04,natascha,27.0,28,f,chimpanzee,,16.0,,,scraper,right,no,
kirchhofer2012dogs,2008,04,04,natascha,27.0,28,f,chimpanzee,,17.0,,,green_hose,right,no,
