study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,species_subgroup,phase,session,trial,condition,pull_left,pull_right,success_left,success_right,efficiency_score,number_grapes_left,number_grapes_right,latency_pull_left,latency_pull_right,min_latency,coordination
sanchez2019chimpanzees,2016,10,2,lome,15,m,focal_participant_right,dorien,35,f,focal_participant_left,chimpanzee,lome_dorien,mix,a,1,4,8,top,no,yes,no,yes,2,0,2,15.0,0.0,0,no
sanchez2019chimpanzees,2016,10,2,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,4,1,top,no,yes,no,yes,2,0,2,15.0,1.76,1.76,no
sanchez2019chimpanzees,2016,10,2,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,4,2,top,yes,no,yes,no,2,2,0,0.88,15.0,0.88,no
sanchez2019chimpanzees,2016,10,2,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,4,3,top,yes,yes,yes,no,2,2,0,0.0,0.2,0,no
sanchez2019chimpanzees,2016,10,2,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,4,4,top,yes,yes,yes,no,2,2,0,0.0,0.36,0,no
sanchez2019chimpanzees,2016,10,2,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,4,5,top,yes,no,yes,no,2,2,0,0.36,15.0,0.36,no
sanchez2019chimpanzees,2016,10,2,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,4,6,top,yes,yes,yes,no,2,2,0,0.16,0.4,0.16,no
sanchez2019chimpanzees,2016,10,2,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,4,7,top,yes,yes,yes,no,1,1,0,0.0,0.0,0,no
sanchez2019chimpanzees,2016,10,2,sandra,23,f,focal_participant_right,bangolo,7,m,focal_participant_left,chimpanzee,sandra_bangolo,mix,a,1,4,8,top,yes,yes,yes,no,2,2,0,0.0,0.64,0,no
sanchez2019chimpanzees,2016,10,2,tai,14,f,focal_participant_right,robert,40,m,focal_participant_left,chimpanzee,tai_robert,mix,a,1,3,1,bot,no,yes,yes,no,2,2,0,15.0,1.2,1.2,no
