"study_id","experiment_name","year","month","day","participant","age_original","age_in_years","sex","species","species_subgroup","session","trial","condition","app_left","app_right","side_indicated","cho2","code2"
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,7,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,8,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,9,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,10,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,11,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,15,"fraukje",36.52,36,"f","chimpanzee","a",15,12,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,1,"arbitrary","b","a","l","r",0
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,2,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,3,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,4,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,5,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,6,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,7,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,8,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,9,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,10,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,11,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,17,"fraukje",36.53,36,"f","chimpanzee","a",16,12,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,19,"fraukje",36.53,36,"f","chimpanzee","a",17,1,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,19,"fraukje",36.53,36,"f","chimpanzee","a",17,2,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,19,"fraukje",36.53,36,"f","chimpanzee","a",17,3,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,19,"fraukje",36.53,36,"f","chimpanzee","a",17,4,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,19,"fraukje",36.53,36,"f","chimpanzee","a",17,5,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,19,"fraukje",36.53,36,"f","chimpanzee","a",17,6,"arbitrary","b","a","l","l",1
