study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_left_codes,food_on_right,food_on_right_codes,choice,choice_codes,success
call2004inferences,4,vizuri,6.0,f,gorilla,42.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,vizuri,6.0,f,gorilla,43.0,3.0,yes,stirred_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vizuri,6.0,f,gorilla,44.0,2.0,no,shaken_empty,yes,stirred_baited,2.0,left,1.0
call2004inferences,4,vizuri,6.0,f,gorilla,45.0,3.0,no,stirred_empty,yes,stirred_baited,1.0,right,0.0
call2004inferences,4,vizuri,6.0,f,gorilla,46.0,2.0,yes,stirred_baited,no,shaken_empty,1.0,right,1.0
call2004inferences,4,vizuri,6.0,f,gorilla,47.0,1.0,yes,shaken_baited,no,stirred_empty,1.0,right,1.0
call2004inferences,4,vizuri,6.0,f,gorilla,48.0,1.0,no,stirred_empty,yes,shaken_baited,2.0,left,1.0
call2004inferences,4,sandra,8.0,f,chimpanzee,1.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,2.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,3.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,4.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,5.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,6.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,7.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,8.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,9.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,10.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,11.0,,no, ,no, ,,,
call2004inferences,4,sandra,8.0,f,chimpanzee,12.0,,no, ,no, ,,,
